year,kingdom,phylum,class,order,species,unranked
2011,Animalia,Arthropoda,Arachnida,Araneae,1,0
2011,Animalia,Arthropoda,Insecta,Coleoptera,1,0
2011,Animalia,Arthropoda,Insecta,Diptera,61,14
2011,Animalia,Arthropoda,Insecta,Hemiptera,1,2
2011,Animalia,Arthropoda,Insecta,Hymenoptera,2,2
2011,Animalia,Arthropoda,Insecta,Lepidoptera,3,0
2011,Animalia,Arthropoda,Insecta,Odonata,1,0
2011,Fungi,Ascomycota,Dothideomycetes,Capnodiales,1,0
2022,Animalia,Annelida,Clitellata,Crassiclitellata,1,0
2022,Animalia,Arthropoda,Arachnida,Araneae,11,0
2022,Animalia,Arthropoda,Arachnida,Sarcoptiformes,2,0
2022,Animalia,Arthropoda,Arachnida,Trombidiformes,0,1
2022,Animalia,Arthropoda,Collembola,Collembola,3,0
2022,Animalia,Arthropoda,Collembola,Entomobryomorpha,1,1
2022,Animalia,Arthropoda,Collembola,Symphypleona,0,1
2022,Animalia,Arthropoda,Insecta,Coleoptera,22,3
2022,Animalia,Arthropoda,Insecta,Diptera,99,60
2022,Animalia,Arthropoda,Insecta,Ephemeroptera,1,0
2022,Animalia,Arthropoda,Insecta,Hemiptera,16,9
2022,Animalia,Arthropoda,Insecta,Hymenoptera,28,10
2022,Animalia,Arthropoda,Insecta,Lepidoptera,9,0
2022,Animalia,Arthropoda,Insecta,Orthoptera,1,0
2022,Animalia,Arthropoda,Insecta,Psocodea,1,0
2022,Animalia,Arthropoda,Insecta,Thysanoptera,2,0
2022,Animalia,Arthropoda,Insecta,Trichoptera,1,0
2022,Animalia,Chordata,Aves,Galliformes,1,0
2022,Animalia,Chordata,Mammalia,Rodentia,1,0
2022,Animalia,Mollusca,Gastropoda,Stylommatophora,3,0
2022,Fungi,Ascomycota,Dothideomycetes,Capnodiales,1,0
2022,Fungi,Ascomycota,Sordariomycetes,Hypocreales,2,0
