Pollinators,<em>Calypso</em>,<em>Coeloglossum</em>,<em>Corallorhiza</em>,<em>Cypripedium</em>,<em>Goodyera</em>,<em>Malaxis</em>,<em>Neottia</em>,<em>Piperia</em>,<em>Platanthera</em>,<em>Spiranthes</em>
<strong><em>n</em><sub>orchid spp.</sub></strong>,1,1,3,3,1,2,4,2,7,1
<strong><em>n</em><sub>known</sub></strong>,1,1,2,2*,1,1*,2*,1*,5*,1
<strong><em>n</em><sub>unknown</sub></strong>,,,1**,1**,,1,2,1,2**,
<strong>Diptera:</strong>,,,,,,,,,,
Bibionidae,,1,,,,,,,,
Cucilidae,,,,,,,,,2***,
Dryomyzidae,,,,,,,1***,,,
Empididae,,,1,,,,,,1,
Scariadae ,,,,, ,1,1*,,,
Syrphidae,,,,,,,,,,1***
<strong>Hymenoptera:</strong>,,,,,,,,,,
Apidae,1*,,1,1*,1,,,,1*,1
Halictidae,,,,1*,,,,,,
Andrenidae,,,,1*,,,,,,
<strong>Lepidoptera:</strong>,,,,,,,,,,
Geometridae,,,,,,,,1*,2***,
Pieridae,,,,,,,,,1,
Noctuidae,,,,,,,,,5***,
Sphingidae,,,,,,,,,1,
<strong>Totals</strong>,1,1,2,3,1,1,2,1,13,2
