family,scientificName,authorship,notes
Andrenidae,Andrena milwaukeensis,"Graenicher, 1903",maybe no previous Kenai Peninsula records
Apidae,Apis mellifera,"Linnaeus, 1758",
Apidae,Bombus flavifrons,"Cresson, 1863",
Apidae,Bombus frigidus,"Smith, 1854",
Apidae,Bombus insularis,"(Smith, 1861)",
Apidae,Bombus lapponicus sylvicola,"Kirby, 1837",
Apidae,Bombus melanopygus,"Nylander, 1848",
Apidae,Bombus mixtus,"Cresson, 1879",
Apidae,Bombus sitkensis,"Nylander, 1848",
Halictidae,Halictus rubicundus,"(Christ, 1791)",maybe no previous Kenai Peninsula records
Megachilidae,Megachile melanophaea,"Smith, 1853",
Megachilidae,Megachile relativa,"Cresson, 1878",
